market_class,market_class_label,country_iso3,gics_code,sector,period,monthly_returns,first_return_month,last_return_month,efficiency_score,inefficiency_distance,vr_2m,vr_3m,vr_6m
developed,Developed,CAN,25,Consumer Discretionary,2022-2025,48,2022-01-31,2025-12-31,0.7865207118231607,0.21347928817683925,0.9510812143808379,0.8042979274349754,0.6041829936536689
developed,Developed,CAN,50,Communication Services,2022-2025,48,2022-01-31,2025-12-31,0.8806947222213235,0.1193052777786765,1.0052964414082242,0.9984602445007795,0.6489203635714151
developed,Developed,CAN,20,Industrials,2022-2025,48,2022-01-31,2025-12-31,0.561867689484975,0.438132310515025,0.8004367780533596,0.5455647161924463,0.33960157420911946
developed,Developed,CAN,30,Consumer Staples,2022-2025,48,2022-01-31,2025-12-31,0.6578174724788817,0.34218252752111833,0.8448562964142606,0.6666513490759274,0.46194477194645694
developed,Developed,CAN,10,Energy,2022-2025,48,2022-01-31,2025-12-31,0.6127655107250896,0.38723448927491044,0.7433752807683648,0.6550443285285172,0.43987692287838626
developed,Developed,CAN,15,Materials,2022-2025,48,2022-01-31,2025-12-31,0.9126338623596201,0.08736613764037993,1.0332246831244185,1.0528533399389814,1.17602038985774
developed,Developed,CAN,35,Health Care,2022-2025,48,2022-01-31,2025-12-31,0.7230379273890182,0.2769620726109818,1.1426223406395253,1.2844178067678669,1.4038460704255535
developed,Developed,CAN,55,Utilities,2022-2025,48,2022-01-31,2025-12-31,0.9076536870119671,0.09234631298803286,0.943103866130893,0.9632388269429183,0.8166183679620902
developed,Developed,CAN,40,Financials,2022-2025,48,2022-01-31,2025-12-31,0.8253296674691005,0.17467033253089947,0.8431865241261433,0.8330804016210285,0.7997220766601298
developed,Developed,CAN,60,Real Estate,2022-2025,48,2022-01-31,2025-12-31,0.8741412667022685,0.12585873329773145,1.0749493716017677,1.0641564151903846,0.7615295868989581
developed,Developed,CHE,35,Health Care,2008-2010,36,2008-01-31,2010-12-31,0.7200835009631745,0.2799164990368255,1.0429723254462204,1.184966702629034,1.6118104690352222
developed,Developed,CHE,45,Information Technology,2008-2010,36,2008-01-31,2010-12-31,0.2677566096852648,0.7322433903147352,1.3344839109807898,1.4891312969793142,2.3731149629841015
developed,Developed,CHE,15,Materials,2008-2010,36,2008-01-31,2010-12-31,0.4940301502587132,0.5059698497412868,1.1969040930038963,1.2619394319243398,2.0590660242956242
developed,Developed,CHE,20,Industrials,2008-2010,36,2008-01-31,2010-12-31,0.3369244654024903,0.6630755345975097,1.3331326363961162,1.46078521749114,2.195308749905273
developed,Developed,CHE,25,Consumer Discretionary,2008-2010,36,2008-01-31,2010-12-31,0.14238518355933782,0.8576148164406622,1.3113341115322603,1.6117226016230666,2.6497877361666595
developed,Developed,CHE,30,Consumer Staples,2008-2010,36,2008-01-31,2010-12-31,0.4657891236194235,0.5342108763805765,1.139459464474394,1.306753727347867,2.1564194373194683
developed,Developed,CHE,40,Financials,2008-2010,36,2008-01-31,2010-12-31,0.39521861602881236,0.6047813839711876,1.3251576414610549,1.3977302607898527,2.0914562496626554
developed,Developed,CHE,35,Health Care,2020-2021,24,2020-01-31,2021-12-31,0.6258044186957377,0.37419558130426234,0.8820034065575607,0.7102969507185594,0.2851128988110929
developed,Developed,CHE,45,Information Technology,2020-2021,24,2020-01-31,2021-12-31,0.7815042076529232,0.21849579234707683,1.2749751329377457,1.3146601672092417,0.9341479231057569
developed,Developed,CHE,15,Materials,2020-2021,24,2020-01-31,2021-12-31,0.6986183890495239,0.3013816109504761,1.3157226802973598,1.26097169702331,0.6725495444692416
developed,Developed,CHE,20,Industrials,2020-2021,24,2020-01-31,2021-12-31,0.7000209339943791,0.29997906600562085,1.3387721920557611,1.4222673941271924,0.861102388166091
developed,Developed,CHE,25,Consumer Discretionary,2020-2021,24,2020-01-31,2021-12-31,0.7902431316586614,0.20975686834133855,1.251315886655361,1.340620226674838,0.9626655083061832
developed,Developed,CHE,30,Consumer Staples,2020-2021,24,2020-01-31,2021-12-31,0.8160231450811515,0.18397685491884852,0.9858745265717459,0.8421534740365746,0.620041434635134
developed,Developed,CHE,40,Financials,2020-2021,24,2020-01-31,2021-12-31,0.8040139877861887,0.1959860122138113,1.1019207782496847,1.0285686989660419,0.5425314405742927
developed,Developed,CHE,60,Real Estate,2020-2021,24,2020-01-31,2021-12-31,0.8113583434260774,0.18864165657392262,1.0217744937264372,0.8640114944965098,0.5918380295081594
developed,Developed,CHE,35,Health Care,2022-2025,48,2022-01-31,2025-12-31,0.8922261019729872,0.10777389802701276,0.9395382646940316,0.9050043283280643,0.8321357128968659
developed,Developed,CHE,45,Information Technology,2022-2025,48,2022-01-31,2025-12-31,0.8781124824264506,0.12188751757354943,1.1550543936772428,1.1321790701650367,1.0784290888783687
developed,Developed,CHE,15,Materials,2022-2025,48,2022-01-31,2025-12-31,0.9613373483701646,0.0386626516298354,0.9901069673724233,0.9410364609502426,1.0471313832121723
developed,Developed,CHE,20,Industrials,2022-2025,48,2022-01-31,2025-12-31,0.9133333050319626,0.08666669496803736,1.0249952945295255,1.0491263099883799,1.1858784803862066
developed,Developed,CHE,30,Consumer Staples,2022-2025,48,2022-01-31,2025-12-31,0.872376630233844,0.12762336976615596,1.0513714022638128,1.0094006103064495,0.6779019032717942
developed,Developed,CHE,40,Financials,2022-2025,48,2022-01-31,2025-12-31,0.814403351362468,0.185596648637532,0.817427656337659,0.7684635318117499,0.857318865937995
developed,Developed,CHE,60,Real Estate,2022-2025,48,2022-01-31,2025-12-31,0.9728263576460116,0.027173642353988448,1.0586936522290804,0.9821038295075781,1.004931104340463
emerging,Developing (MSCI Emerging proxy),CHL,30,Consumer Staples,2008-2010,36,2008-01-31,2010-12-31,0.21415300995521347,0.7858469900447865,1.3899710158298804,1.5915290824998822,2.376040871804597
emerging,Developing (MSCI Emerging proxy),CHL,40,Financials,2008-2010,36,2008-01-31,2010-12-31,-0.03206366508205516,1.0320636650820552,1.4892150144388252,1.8318140898407531,2.775161890966587
emerging,Developing (MSCI Emerging proxy),CHL,20,Industrials,2008-2010,36,2008-01-31,2010-12-31,0.08713617868135015,0.9128638213186498,1.3891892416073015,1.7401190009545848,2.6092832213940635
emerging,Developing (MSCI Emerging proxy),CHL,15,Materials,2008-2010,36,2008-01-31,2010-12-31,-0.022782916710976542,1.0227829167109765,1.470116986183548,1.9049389339804899,2.6932928299688914
emerging,Developing (MSCI Emerging proxy),CHL,55,Utilities,2008-2010,36,2008-01-31,2010-12-31,0.6513908107948541,0.34860918920514594,1.1958645208289014,1.3490073597071521,1.5009556870793845
emerging,Developing (MSCI Emerging proxy),CHL,30,Consumer Staples,2020-2021,24,2020-01-31,2021-12-31,0.8382528535305643,0.16174714646943567,1.2054814803268086,1.2485294818989128,1.0312304771825858
emerging,Developing (MSCI Emerging proxy),CHL,40,Financials,2020-2021,24,2020-01-31,2021-12-31,0.5738281449887608,0.4261718550112392,1.2138434848195094,1.337623010351146,1.7270490698630623
emerging,Developing (MSCI Emerging proxy),CHL,20,Industrials,2020-2021,24,2020-01-31,2021-12-31,0.906371783976682,0.09362821602331795,0.9505597514324085,1.1656290996015783,1.065815299900784
emerging,Developing (MSCI Emerging proxy),CHL,15,Materials,2020-2021,24,2020-01-31,2021-12-31,-0.07756525626502775,1.0775652562650277,1.4845783149167502,1.9206934648162663,2.827423989062067
